prompt,response,timestamp,model,cost,feedback
"Summarize this quarterly earnings report into 3 bullet points. Q3 revenue was $4.2B up 12% YoY. Operating expenses increased 8%. Net income was $840M.","• Revenue grew 12% YoY to $4.2B\n• Operating expenses up 8% indicating cost pressure\n• Net income of $840M maintains 20% margin",2024-01-03 09:15:22,gpt-4o,0.0342,positive
"Classify this support ticket into one of: billing / technical / general. Ticket: My invoice shows a charge I don't recognize from last month.","billing",2024-01-03 10:22:45,gpt-4o,0.0028,positive
"Extract all action items from this meeting transcript: Alice will update the roadmap by Friday. Bob is responsible for Q1 budget review. Carol needs to send vendor contracts.","1. Alice: Update roadmap by Friday\n2. Bob: Complete Q1 budget review\n3. Carol: Send vendor contracts",2024-01-04 11:30:00,gpt-4o,0.0156,positive
"Write a Python function that validates email addresses using regex","def validate_email(email: str) -> bool:\n    import re\n    pattern = r'^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\\.[a-zA-Z]{2,}$'\n    return bool(re.match(pattern, email))",2024-01-04 14:05:33,gpt-4o,0.0445,positive
"What are the main differences between REST and GraphQL? Explain pros and cons of each.","REST uses fixed endpoints and is simpler to cache. GraphQL allows flexible queries and reduces over-fetching. REST is better for simple CRUD; GraphQL for complex data requirements.",2024-01-05 09:00:00,gpt-4o,0.0512,
"A customer is asking why their subscription renewal failed. Draft a helpful response.","Dear Customer, we noticed your renewal was unsuccessful. This is often due to an expired payment method. Please update your billing info in Account Settings. Our support team is available 24/7.",2024-01-05 10:30:00,gpt-4o,0.0198,positive
"Summarize this legal contract section on liability into plain English: The party of the first part shall not be held liable for indirect incidental or consequential damages.","In plain English: The company is not responsible for any indirect or unexpected losses that result from using their service.",2024-01-06 08:45:00,gpt-4o-mini,0.0045,
"Classify this email subject line as spam or not spam: You have won $1000000 in our lottery!","spam",2024-01-06 09:10:00,gpt-4o-mini,0.0008,positive
"Extract all dates mentioned in this press release: The product launches on March 15. Beta testing begins February 1. Registration opens January 20.","Dates found:\n- January 20: Registration opens\n- February 1: Beta testing begins\n- March 15: Product launch",2024-01-07 11:00:00,gpt-4o-mini,0.0032,positive
"Write a SQL query to find the top 10 customers by revenue in the last 90 days","SELECT customer_id, SUM(order_amount) as total_revenue FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '90 days' GROUP BY customer_id ORDER BY total_revenue DESC LIMIT 10;",2024-01-08 14:20:00,gpt-4o,0.0389,positive
"Summarize the key findings from this research paper abstract on machine learning in healthcare","Key findings: ML models achieved 94% accuracy in early disease detection. Study covered 50000 patient records over 5 years. Random forest outperformed neural networks for structured EHR data.",2024-01-09 09:30:00,claude-3-5-sonnet-20241022,0.0287,positive
"Categorize these product reviews by sentiment: Great product! / Terrible experience / It was okay","Positive: Great product!\nNegative: Terrible experience\nNeutral: It was okay",2024-01-10 10:15:00,claude-3-haiku-20240307,0.0015,positive
"Extract the named entities from: Apple CEO Tim Cook announced in Cupertino that the company will partner with Samsung.","People: Tim Cook\nOrganizations: Apple, Samsung\nLocations: Cupertino",2024-01-11 11:45:00,claude-3-haiku-20240307,0.0012,positive
"Explain how transformer neural networks work including attention mechanisms","Transformers use self-attention to weigh the importance of different tokens. The mechanism computes query key and value matrices to determine relevance. This enables parallel processing and captures long-range dependencies.",2024-01-12 09:00:00,gemini-1.5-pro,0.0423,positive
"A customer wants to return a product purchased 45 days ago. Our policy is 30 days. How should I respond?","Acknowledge the customer's frustration empathetically. Explain the 30-day return policy clearly but offer alternatives: store credit exchange or supervisor escalation for exceptions.",2024-01-13 14:30:00,gemini-1.5-flash,0.0067,positive
"Summarize this 500-word article about climate change into a 50-word executive summary","Global temperatures up 1.1°C since pre-industrial times. Renewable energy adoption accelerating but fossil fuels persist. Scientists warn of 1.5°C breach by 2035 without immediate policy action. Economic transition costs ~$3T annually.",2024-01-15 09:23:11,gpt-4o,0.0298,positive
"Classify each support ticket by priority: Site is completely down / Password reset not working / Update billing address","Critical: Site is completely down\nMedium: Password reset not working\nLow: Update billing address",2024-01-16 10:00:00,gpt-4o-mini,0.0019,positive
"Extract all financial figures from: Revenue increased to $2.4B. EBITDA margin expanded to 18.5%. Capex was $340M. Free cash flow reached $1.1B.","Revenue: $2.4B\nEBITDA margin: 18.5%\nCapex: $340M\nFree cash flow: $1.1B",2024-01-17 11:30:00,claude-3-haiku-20240307,0.0011,
"Write a JavaScript function to debounce API calls with a 300ms delay","function debounce(fn, delay = 300) {\n  let timeoutId;\n  return function(...args) {\n    clearTimeout(timeoutId);\n    timeoutId = setTimeout(() => fn.apply(this, args), delay);\n  };\n}",2024-01-18 13:45:00,gpt-4o,0.0412,positive
